period_end,GrossProfit,NetIncomeLoss,OperatingCashFlow,Revenues,YoY_Revenue_%,GrossMargin,NetMargin,OpCFMargin
2007-09-29,8152000000.0,3495000000.0,5470000000.0,,,,,
2008-06-28,2600000000.0,1072000000.0,5301000000.0,,,,,
2008-09-27,13197000000.0,6119000000.0,9596000000.0,,,,,
2008-12-27,4507000000.0,2255000000.0,3938000000.0,,,,,
2009-03-28,3627000000.0,1620000000.0,4779000000.0,,,,,
2009-06-27,3983000000.0,1828000000.0,7049000000.0,,,,,
2009-09-26,5105000000.0,2532000000.0,10159000000.0,,,,,
2009-12-26,6411000000.0,3378000000.0,5781000000.0,,,,,
2010-03-27,5625000000.0,3074000000.0,8111000000.0,,,,,
2010-06-26,6136000000.0,3253000000.0,12912000000.0,,,,,
2010-09-25,7512000000.0,4308000000.0,18595000000.0,,,,,
2010-12-25,10298000000.0,6004000000.0,9773000000.0,,,,,
2011-03-26,10218000000.0,5987000000.0,15992000000.0,,,,,
2011-06-25,11922000000.0,7308000000.0,27100000000.0,,,,,
2011-09-24,11380000000.0,6623000000.0,37529000000.0,,,,,
2011-12-31,20703000000.0,13064000000.0,17554000000.0,,,,,
2012-03-31,18564000000.0,11622000000.0,31531000000.0,,,,,
2012-06-30,14994000000.0,8824000000.0,41720000000.0,,,,,
2012-09-29,14401000000.0,8223000000.0,50856000000.0,,,,,
2012-12-29,21060000000.0,13078000000.0,23426000000.0,,,,,
2013-03-30,16349000000.0,9547000000.0,35930000000.0,,,,,
2013-06-29,13024000000.0,6900000000.0,43758000000.0,,,,,
2013-09-28,13871000000.0,7512000000.0,53666000000.0,,,,,
2013-12-28,21846000000.0,13072000000.0,22670000000.0,,,,,
2014-03-29,17947000000.0,10223000000.0,,,,,,
2014-06-28,14735000000.0,7748000000.0,,,,,,
2014-09-27,16009000000.0,8467000000.0,,,,,,
2014-12-27,29741000000.0,18024000000.0,,,,,,
2015-03-28,23656000000.0,13569000000.0,,,,,,
2015-06-27,19681000000.0,10677000000.0,,,,,,
2015-09-26,20548000000.0,11124000000.0,81266000000.0,,,,,
2015-12-26,30423000000.0,18361000000.0,,,,,,
2016-03-26,19921000000.0,10516000000.0,39064000000.0,,,,,
2016-06-25,16106000000.0,7796000000.0,49698000000.0,,,,,
2016-09-24,17813000000.0,9014000000.0,66231000000.0,215639000000.0,,0.08260565111134813,0.04180134391274306,0.3071383191352214
2016-12-31,30176000000.0,17891000000.0,27234000000.0,78351000000.0,,0.38513867085295656,0.22834424576584855,0.3475896925374277
2017-04-01,20591000000.0,11029000000.0,39804000000.0,52896000000.0,,0.38927329098608593,0.20850347852389595,0.7524954627949183
2017-07-01,17488000000.0,8717000000.0,48476000000.0,45408000000.0,,0.38513037350246654,0.19197057787174066,1.0675651867512332
2017-09-30,19931000000.0,10714000000.0,64225000000.0,52579000000.0,-75.61711935225075,0.3790676886209323,0.20376956579623043,1.2214952737785048
2017-12-30,33912000000.0,20065000000.0,28293000000.0,88293000000.0,12.689053107171567,0.384084808535218,0.22725470875380835,0.32044442934320955
2018-03-31,23422000000.0,13822000000.0,43423000000.0,61137000000.0,15.579627949183305,0.38310679294044525,0.22608240509020724,0.7102572910021755
2018-06-30,20421000000.0,11519000000.0,57911000000.0,53265000000.0,17.303118393234662,0.38338496198254013,0.21625833098657654,1.0872242560781
2018-09-29,24084000000.0,14125000000.0,77434000000.0,62900000000.0,19.629509880370488,0.38289348171701115,0.22456279809220986,1.2310651828298886
2018-12-29,32031000000.0,19965000000.0,26690000000.0,,,,,
2019-03-30,21821000000.0,11561000000.0,37845000000.0,,,,,
2019-06-29,20227000000.0,10044000000.0,49481000000.0,,,,,
2019-09-28,24313000000.0,13686000000.0,69391000000.0,,,,,
2019-12-28,35217000000.0,22236000000.0,30516000000.0,,,,,
2020-03-28,22370000000.0,11249000000.0,43827000000.0,,,,,
2020-06-27,22680000000.0,11253000000.0,60098000000.0,,,,,
2020-09-26,24689000000.0,12673000000.0,80674000000.0,,,,,
2020-12-26,44328000000.0,28755000000.0,38763000000.0,,,,,
2021-03-27,38079000000.0,23630000000.0,62744000000.0,,,,,
2021-06-26,35255000000.0,21744000000.0,83838000000.0,,,,,
2021-09-25,152836000000.0,94680000000.0,104038000000.0,,,,,
2021-12-25,54243000000.0,34630000000.0,46966000000.0,,,,,
2022-03-26,42559000000.0,25010000000.0,75132000000.0,,,,,
2022-06-25,35885000000.0,19442000000.0,98024000000.0,,,,,
2022-09-24,170782000000.0,99803000000.0,122151000000.0,,,,,
2022-12-31,50332000000.0,29998000000.0,34005000000.0,,,,,
2023-04-01,41976000000.0,24160000000.0,62565000000.0,,,,,
2023-07-01,36413000000.0,19881000000.0,88945000000.0,,,,,
2023-09-30,169148000000.0,96995000000.0,110543000000.0,,,,,
2023-12-30,54855000000.0,33916000000.0,39895000000.0,,,,,
2024-03-30,42271000000.0,23636000000.0,62585000000.0,,,,,
2024-06-29,39678000000.0,21448000000.0,91443000000.0,,,,,
2024-09-28,180683000000.0,93736000000.0,118254000000.0,,,,,
2024-12-28,58275000000.0,36330000000.0,29935000000.0,,,,,
