period_end,GrossProfit,Revenues,NetIncomeLoss,OperatingCashFlow,YoY_Revenue_%,GrossMargin,NetMargin,OpCFMargin
2007-09-30,11087000000.0,13762000000.0,4289000000.0,,,0.8056241825316087,0.3116552826624037,
2007-12-31,12824000000.0,16367000000.0,4707000000.0,,,0.7835278303904197,0.28759088409604694,
2008-03-31,11940000000.0,14454000000.0,4388000000.0,,,0.8260689082606891,0.30358378303583783,
2008-06-30,12971000000.0,15837000000.0,4297000000.0,21612000000.0,,0.819031382206226,0.2713266401464924,1.3646523962871755
2008-09-30,12213000000.0,15061000000.0,4373000000.0,3370000000.0,9.43903502397907,0.8109023305225417,0.29035256623066197,0.22375672266117788
2008-12-31,12722000000.0,16629000000.0,4174000000.0,5782000000.0,1.6007820614651447,0.7650490107643274,0.25100727644476517,0.34770581514222143
2009-03-31,10834000000.0,13648000000.0,2977000000.0,6044000000.0,-5.576311055763106,0.7938159437280188,0.21812719812426729,0.4428487690504103
2009-06-30,10513000000.0,13099000000.0,3045000000.0,19037000000.0,-17.288627896697605,0.802580349645011,0.23246049316741735,1.4533170471028323
2009-09-30,10078000000.0,12920000000.0,3574000000.0,6107000000.0,-14.215523537613706,0.780030959752322,0.27662538699690403,0.4726780185758514
2009-12-31,15394000000.0,19022000000.0,6662000000.0,4969000000.0,14.390522581033128,0.8092734728209442,0.3502260540426874,0.26122384607296817
2010-03-31,11748000000.0,14503000000.0,4006000000.0,7393000000.0,6.264654161781946,0.8100393022133352,0.27621871336964765,0.5097566020823278
2010-06-30,12869000000.0,16039000000.0,4518000000.0,24073000000.0,22.44446140926788,0.8023567554086913,0.28168838456262857,1.5009040463869319
2010-09-30,13056000000.0,16195000000.0,5410000000.0,8194000000.0,25.348297213622285,0.8061747452917567,0.3340537202840383,0.5059586292065452
2010-12-31,15120000000.0,19953000000.0,6634000000.0,4186000000.0,4.894332877720542,0.7577807848443843,0.33248133112815115,0.20979301358191751
2011-03-31,12531000000.0,,5232000000.0,8672000000.0,,,,
2011-06-30,13659000000.0,,5874000000.0,26994000000.0,,,,
2011-09-30,13595000000.0,,5738000000.0,8493000000.0,,,,
2011-12-31,15247000000.0,,6624000000.0,5862000000.0,,,,
2012-03-31,13455000000.0,,5108000000.0,9594000000.0,,,,
2012-06-30,13896000000.0,,-492000000.0,31626000000.0,,,,
2012-09-30,11840000000.0,,4466000000.0,8484000000.0,,,,
2012-12-31,15764000000.0,,6377000000.0,4780000000.0,,,,
2013-03-31,15702000000.0,,6055000000.0,9666000000.0,,,,
2013-06-30,14294000000.0,,4965000000.0,28833000000.0,,,,
2013-09-30,13384000000.0,,5244000000.0,,,,,
2013-12-31,16197000000.0,,6558000000.0,,,,,
2014-03-31,14425000000.0,,5660000000.0,,,,,
2014-06-30,15749000000.0,,4612000000.0,,,,,
2014-09-30,14928000000.0,,4540000000.0,,,,,
2014-12-31,16334000000.0,,5863000000.0,,,,,
2015-03-31,14568000000.0,,4985000000.0,,,,,
2015-06-30,14712000000.0,,-3195000000.0,,,,,
2015-09-30,13172000000.0,,4902000000.0,,,,,
2015-12-31,13924000000.0,,5018000000.0,,,,,
2016-03-31,12809000000.0,,3756000000.0,,,,,
2016-06-30,12635000000.0,,3122000000.0,33325000000.0,,,,
2016-09-30,14084000000.0,,5667000000.0,,,,,
2016-12-31,15925000000.0,,6267000000.0,6293000000.0,,,,
2017-03-31,15152000000.0,,5486000000.0,10660000000.0,,,,
2017-06-30,17149000000.0,,8069000000.0,39507000000.0,,,,
2017-09-30,16260000000.0,,6576000000.0,12440000000.0,,,,
2017-12-31,17854000000.0,,-6302000000.0,7875000000.0,,,,
2018-03-31,17550000000.0,,7424000000.0,12151000000.0,,,,
2018-06-30,20343000000.0,,8873000000.0,43884000000.0,,,,
2018-09-30,19179000000.0,,8824000000.0,13657000000.0,,,,
2018-12-31,20048000000.0,,8420000000.0,8900000000.0,,,,
2019-03-31,20401000000.0,,8809000000.0,13520000000.0,,,,
2019-06-30,23305000000.0,,13187000000.0,52185000000.0,,,,
2019-09-30,22649000000.0,,10678000000.0,13818000000.0,,,,
2019-12-31,24548000000.0,,11649000000.0,10680000000.0,,,,
2020-03-31,24046000000.0,,10752000000.0,17504000000.0,,,,
2020-06-30,25694000000.0,,11202000000.0,60675000000.0,,,,
2020-09-30,26152000000.0,,13893000000.0,19335000000.0,,,,
2020-12-31,28882000000.0,,15463000000.0,12516000000.0,,,,
2021-03-31,28661000000.0,,15457000000.0,22179000000.0,,,,
2021-06-30,115856000000.0,,61271000000.0,76740000000.0,,,,
2021-09-30,31671000000.0,,20505000000.0,24540000000.0,,,,
2021-12-31,34768000000.0,,18765000000.0,14480000000.0,,,,
2022-03-31,33745000000.0,,16728000000.0,25386000000.0,,,,
2022-06-30,135620000000.0,,72738000000.0,89035000000.0,,,,
2022-09-30,34670000000.0,,17556000000.0,23198000000.0,,,,
2022-12-31,35259000000.0,,16425000000.0,11173000000.0,,,,
2023-03-31,36729000000.0,,18299000000.0,24441000000.0,,,,
2023-06-30,146052000000.0,,72361000000.0,87582000000.0,,,,
2023-09-30,40215000000.0,,22291000000.0,30583000000.0,,,,
2023-12-31,42397000000.0,,21870000000.0,18853000000.0,,,,
2024-03-31,43353000000.0,,21939000000.0,31917000000.0,,,,
2024-06-30,171008000000.0,,88136000000.0,118548000000.0,,,,
2024-09-30,45486000000.0,,24667000000.0,34180000000.0,,,,
2024-12-31,47833000000.0,,24108000000.0,22291000000.0,,,,
